FrameNum,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Coeff_0,Coeff_1,Coeff_2,Coeff_3,Coeff_4,Coeff_5,P1,P2,Time
0,229.4907406,224.0803427,206.0097085,251,231.0086578,285.7008925,1.03E-12,-2.37E-09,1.85E-06,-0.000645717,0.148357716,443.3008659,0,0,0
1,229.7063343,224.1428116,206.0873601,250.0079999,230.0021739,284.4503472,4.24E-13,-9.90E-10,6.66E-07,-0.000161454,0.067463772,439.1501496,0,0,0.04
2,229.6301374,224.1428116,205.0609665,250.0179994,231.0086578,283.5101409,5.17E-13,-1.24E-09,9.36E-07,-0.000312574,0.110564027,440.9187827,0,0,0.08
3,229.5582715,224.1093483,207.0386437,250.0079999,232,284.5083479,1.09E-13,-2.42E-10,1.45E-08,9.33E-05,0.019024133,447.0470594,0,0,0.12
4,228.6328935,223.0807029,205.0609665,250.0179994,231.0086578,283.451936,9.27E-13,-2.18E-09,1.74E-06,-0.000611024,0.152942522,432.1154267,0,0,0.16
5,229.6301374,224.1093483,206.0218435,250.0079999,232.0021552,283.5718604,7.82E-13,-1.78E-09,1.32E-06,-0.000424869,0.112020907,441.7867972,0,0,0.2
6,228.4928883,225.0799858,206.0218435,250.002,231.0021645,283.6370921,8.61E-13,-2.09E-09,1.75E-06,-0.000672383,0.171676559,436.3760501,0,0,0.24
7,228.560714,224.1093483,205.0609665,249.008032,230,282.5119467,1.50E-13,-3.45E-10,1.00E-07,6.36E-05,0.024133527,445.071136,0,0,0.28
8,229.7063343,225.1088626,207.021738,250.0179994,232,284.5698508,2.49E-13,-5.87E-10,3.33E-07,-4.53E-05,0.047254664,446.1387994,0,0,0.32
9,228.6328935,225.1088626,207.0386437,249.0180716,230,283.5101409,1.56E-13,-2.60E-10,-6.12E-08,0.000168133,-0.002450851,447.3204679,0,0,0.36
10,228.6328935,223.1098384,206.0606707,249.0180716,231.0021645,283.451936,1.68E-13,-4.39E-10,2.37E-07,-1.88E-05,0.048493477,442.9559654,0,0,0.4
11,230.6274051,225.1088626,206.0388313,250.0179994,231,285.5065674,3.44E-13,-7.89E-10,5.25E-07,-0.000143796,0.073473622,441.1699365,0,0,0.44
12,228.6328935,224.0803427,205.0390207,250.0079999,230,284.5083479,3.92E-13,-9.95E-10,7.60E-07,-0.00024544,0.090282592,439.6845381,0,0,0.48
13,229.5582715,224.0803427,205.0390207,250.0079999,231,284.5698508,8.12E-13,-1.97E-09,1.61E-06,-0.000597993,0.156264745,437.3700376,0,0,0.52
14,230.6274051,225.1088626,206.0218435,250.0179994,231.0021645,284.5698508,1.79E-13,-5.01E-10,3.36E-07,-8.60E-05,0.064322248,441.5911878,0,0,0.56
15,228.6328935,224.1428116,206.0388313,249.008032,231,283.5718604,1.11E-12,-2.59E-09,2.08E-06,-0.000757428,0.18129605,435.3851407,0,0,0.6
16,229.6301374,224.1093483,206.0388313,249.008032,231,283.5718604,9.21E-13,-2.14E-09,1.72E-06,-0.000637783,0.168172834,435.6896697,0,0,0.64
17,229.6301374,224.1093483,206.0606707,250.0179994,231,284.4503472,5.81E-13,-1.47E-09,1.23E-06,-0.000470892,0.143652479,434.5964317,0,0,0.68
18,228.7094226,224.1093483,206.0388313,250.0079999,230,284.5083479,3.74E-13,-9.35E-10,7.04E-07,-0.000231294,0.092355625,440.7971411,0,0,0.72
19,228.560714,225.1088626,207.0386437,249.0180716,230.0021739,284.4503472,3.59E-13,-7.98E-10,4.89E-07,-0.000101242,0.057781154,443.1177623,0,0,0.76
20,229.6301374,224.0803427,206.0388313,249.0180716,230,284.4503472,1.47E-13,-3.33E-10,9.92E-08,5.65E-05,0.02816496,444.2591633,0,0,0.8
